sessionId,time_ms,eventType,posX,posY,section,extra
7109f783,48399,DEATH_HAZARD,3826,-399,S03_HARD_ENTER,
7109f783,48399,RESPAWN,2438,-33,S03_HARD_ENTER,
7109f783,48419,SECTION_ENTER,2448,-19,S03_HARD_ENTER,S03_HARD_ENTER
7109f783,48419,LAND,2448,-19,S03_HARD_ENTER,
7109f783,50152,JUMP,3305,-23,S03_HARD_ENTER,velX=5 00
7109f783,51279,DEATH_HAZARD,3816,-390,S03_HARD_ENTER,
7109f783,51279,RESPAWN,2438,-33,S03_HARD_ENTER,
7109f783,51299,SECTION_ENTER,2448,-19,S03_HARD_ENTER,S03_HARD_ENTER
7109f783,51299,LAND,2448,-19,S03_HARD_ENTER,
7109f783,53459,DEATH_HAZARD,3528,-391,S03_HARD_ENTER,
7109f783,53459,RESPAWN,2438,-33,S03_HARD_ENTER,
7109f783,53479,SECTION_ENTER,2448,-19,S03_HARD_ENTER,S03_HARD_ENTER
7109f783,53479,LAND,2448,-19,S03_HARD_ENTER,
7109f783,55192,JUMP,3295,-19,S03_HARD_ENTER,velX=5 00
7109f783,56339,DEATH_HAZARD,3826,-400,S03_HARD_ENTER,
7109f783,56339,RESPAWN,2438,-33,S03_HARD_ENTER,
7109f783,56359,SECTION_ENTER,2448,-19,S03_HARD_ENTER,S03_HARD_ENTER
7109f783,56359,LAND,2448,-19,S03_HARD_ENTER,
7109f783,58099,JUMP,3308,-25,S03_HARD_ENTER,velX=5 00
7109f783,59219,DEATH_HAZARD,3816,-390,S03_HARD_ENTER,
7109f783,59219,RESPAWN,2438,-33,S03_HARD_ENTER,
7109f783,59239,SECTION_ENTER,2448,-19,S03_HARD_ENTER,S03_HARD_ENTER
7109f783,59239,LAND,2448,-19,S03_HARD_ENTER,
7109f783,60976,JUMP,3306,-24,S03_HARD_ENTER,velX=5 00
7109f783,62099,DEATH_HAZARD,3816,-390,S03_HARD_ENTER,
7109f783,62099,RESPAWN,2438,-33,S03_HARD_ENTER,
7109f783,62119,SECTION_ENTER,2448,-19,S03_HARD_ENTER,S03_HARD_ENTER
7109f783,62119,LAND,2448,-19,S03_HARD_ENTER,
7109f783,63864,JUMP,3311,-26,S03_HARD_ENTER,velX=5 00
7109f783,64639,LAND,3708,124,S03_HARD_ENTER,
7109f783,64799,SECTION_ENTER,3788,125,S04_SUPERHARD_ENTER,S04_SUPERHARD_ENTER
7109f783,66159,GOAL_REACHED,4456,125,S04_SUPERHARD_ENTER,
